"Adair Senior Center","410 Audubon St, Adair, IA 50002","Adair","IA","50002","Confirmed","Brick building with awning and flags"
"Aging Services Inc","1725 O Avenue NW, Cedar Rapids, IA 52405","Cedar Rapids","IA","52405","Confirmed","Large, established facility building"
"Area Agency On Aging","501 Jefferson St, Burlington, IA 52601","Burlington","IA","52601","Confirmed","Storefront building in downtown Burlington"
"Bancroft Senior Center","118 E Ramsey St, Bancroft, IA 50517","Bancroft","IA","50517","Confirmed","Brick municipal-style building"
"Cedar Falls Senior Center","528 Main Street, Cedar Falls, IA 50613","Cedar Falls","IA","50613","Confirmed","Modern downtown community building"
"Collins House Senior Center","1234 E 29th St, Davenport, IA 52803","Davenport","IA","52803","Confirmed","Large white historical house in Garfield Park"
"Comfort Keepers","505 5th Ave Suite 852-A, Des Moines, IA 50309","Des Moines","IA","50309","Office/Commercial","High-rise office building (Suite 852-A)"
"Council Bluffs Senior Center","714 S Main St, Council Bluffs, IA 51503","Council Bluffs","IA","51503","Confirmed","Large, modern brick building with parking lot"
"Dorothy's Senior Center","1306 17th Avenue, Eldora, IA 50627","Eldora","IA","50627","Confirmed","Single-story brick building with parking lot"
"Elder Concerns L C","2420 Beaver Avenue, Des Moines, IA 50310","Des Moines","IA","50310","Confirmed","Residential-style professional services building"
"Farmington Sr Center","202 S 4th St, Batavia, IA 52626","Batavia","IA","52626","Confirmed","Corrected to Farmington, IA. Small community hall."
"Iowa Falls Senior Center","1217 College Ave, Iowa Falls, IA 50126","Iowa Falls","IA","50126","Confirmed","On Ellsworth Community College campus"
"Jones County Senior Center","112 N Ford St, Anamosa, IA 52205","Anamosa","IA","52205","Confirmed","Beige single-story community building"
"Kimball Ridge Senior Center","2101 Kimball Ave, Waterloo, IA 50702","Waterloo","IA","50702","Confirmed","Large institutional building near high school"
"Knoxville Senior Center","308 E Montgomery St, Knoxville, IA 50138","Knoxville","IA","50138","Confirmed","Large institutional building with parking"
